키워드순번,품목키워드,키워드레벨,상위키워드순번,판정결과코드,종결여부,사용여부,자동완성용키워드
2092,네트워크 접근제어기,3,2079,3,Y,Y,ㄴㅔㅌㅡㅇㅝㅋㅡ ㅈㅓㅂㄱㅡㄴㅈㅔㅇㅓㄱㅣ
2093,링크 당 전송속도 2.0Gbyte/s 이하,3,2079,2,Y,Y,ㄹㅣㅇㅋㅡ ㄷㅏㅇ ㅈㅓㄴㅅㅗㅇㅅㅗㄱㄷㅗ 2.0Gbyte/s ㅇㅣㅎㅏ
2094,민간 항공기용 컴퓨터,3,2073,3,Y,Y,ㅁㅣㄴㄱㅏㄴ ㅎㅏㅇㄱㅗㅇㄱㅣㅇㅛㅇ ㅋㅓㅁㅍㅠㅌㅓ
2095,민간 항공기용 컴퓨터,3,2084,3,Y,Y,ㅁㅣㄴㄱㅏㄴ ㅎㅏㅇㄱㅗㅇㄱㅣㅇㅛㅇ ㅋㅓㅁㅍㅠㅌㅓ
2096,민수 자동차용 컴퓨터,3,2073,3,Y,Y,ㅁㅣㄴㅅㅜ ㅈㅏㄷㅗㅇㅊㅏㅇㅛㅇ ㅋㅓㅁㅍㅠㅌㅓ
2097,사용온도 범위 -45°C 이상 85°C 이하,3,2073,2,Y,Y,ㅅㅏㅇㅛㅇㅇㅗㄴㄷㅗ ㅂㅓㅁㅇㅟ -45°C ㅇㅣㅅㅏㅇ 85°C ㅇㅣㅎㅏ
2098,수동형 연결장비,3,2079,3,Y,Y,ㅅㅜㄷㅗㅇㅎㅕㅇ ㅇㅕㄴㄱㅕㄹㅈㅏㅇㅂㅣ
2099,철도용 컴퓨터,3,2073,3,Y,Y,ㅊㅓㄹㄷㅗㅇㅛㅇ ㅋㅓㅁㅍㅠㅌㅓ
2101,최대 구성 후 APP (최적수행성능) 15 WT 이하인 컴퓨터의 개발 소프트웨어,3,2087,2,Y,Y,ㅊㅚㄷㅐ ㄱㅜㅅㅓㅇ ㅎㅜ APP (ㅊㅚㅈㅓㄱㅅㅜㅎㅐㅇㅅㅓㅇㄴㅡㅇ) 15 WT ㅇㅣㅎㅏㅇㅣㄴ ㅋㅓㅁㅍㅠㅌㅓㅇㅢ ㄱㅐㅂㅏㄹ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ
2102,최대 구성 후 APP (최적수행성능) 29WT 이하,3,2077,2,Y,Y,ㅊㅚㄷㅐ ㄱㅜㅅㅓㅇ ㅎㅜ APP (ㅊㅚㅈㅓㄱㅅㅜㅎㅐㅇㅅㅓㅇㄴㅡㅇ) 29WT ㅇㅣㅎㅏ
2103,통신채널제어기,3,2079,3,Y,Y,ㅌㅗㅇㅅㅣㄴㅊㅐㄴㅓㄹㅈㅔㅇㅓㄱㅣ
2104,원격통신 전송장비 또는 교환기 개발 장비,1,,,,Y,ㅇㅝㄴㄱㅕㄱㅌㅗㅇㅅㅣㄴ ㅈㅓㄴㅅㅗㅇㅈㅏㅇㅂㅣ ㄸㅗㄴㅡㄴ ㄱㅛㅎㅘㄴㄱㅣ ㄱㅐㅂㅏㄹ ㅈㅏㅇㅂㅣ
2105,정보보안 개발/생산/사용 소프트웨어,1,,,,Y,ㅈㅓㅇㅂㅗㅂㅗㅇㅏㄴ ㄱㅐㅂㅏㄹ/ㅅㅐㅇㅅㅏㄴ/ㅅㅏㅇㅛㅇ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ
2106,특정 전기통신 소프트웨어,1,,,,Y,ㅌㅡㄱㅈㅓㅇ ㅈㅓㄴㄱㅣㅌㅗㅇㅅㅣㄴ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ
2107,수중 통신 장비,1,,,,Y,ㅅㅜㅈㅜㅇ ㅌㅗㅇㅅㅣㄴ ㅈㅏㅇㅂㅣ
2110,암호화 기능 포함 장비/부품,1,,,,N,ㅇㅏㅁㅎㅗㅎㅘ ㄱㅣㄴㅡㅇ ㅍㅗㅎㅏㅁ ㅈㅏㅇㅂㅣ/ㅂㅜㅍㅜㅁ
2112,극한 환경 통신장비,1,,,,Y,ㄱㅡㄱㅎㅏㄴ ㅎㅘㄴㄱㅕㅇ ㅌㅗㅇㅅㅣㄴㅈㅏㅇㅂㅣ
2113,급조 폭발물 방지 장비,1,,,,Y,ㄱㅡㅂㅈㅗ ㅍㅗㄱㅂㅏㄹㅁㅜㄹ ㅂㅏㅇㅈㅣ ㅈㅏㅇㅂㅣ
2115,암호 활성화 장비/부품,1,,,,N,ㅇㅏㅁㅎㅗ ㅎㅘㄹㅅㅓㅇㅎㅘ ㅈㅏㅇㅂㅣ/ㅂㅜㅍㅜㅁ
2117,안테나,1,,,,Y,ㅇㅏㄴㅌㅔㄴㅏ
2118,암호 활성화 소프트웨어,1,,,,Y,ㅇㅏㅁㅎㅗ ㅎㅘㄹㅅㅓㅇㅎㅘ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ
2277,최대 사거리 300km이하,3,2181,2,Y,Y,ㅊㅚㄷㅐ ㅅㅏㄱㅓㄹㅣ 300kmㅇㅣㅎㅏ
2278,최대 사거리 300km이하,3,2232,2,Y,Y,ㅊㅚㄷㅐ ㅅㅏㄱㅓㄹㅣ 300kmㅇㅣㅎㅏ
2285,키길이 112비트 초과,3,2203,1,Y,N,ㅋㅣㄱㅣㄹㅇㅣ 112ㅂㅣㅌㅡ ㅊㅗㄱㅘ
2286,키길이 512비트 초과,3,2164,1,Y,N,ㅋㅣㄱㅣㄹㅇㅣ 512ㅂㅣㅌㅡ ㅊㅗㄱㅘ
2287,키길이 512비트 초과,3,2229,1,Y,N,ㅋㅣㄱㅣㄹㅇㅣ 512ㅂㅣㅌㅡ ㅊㅗㄱㅘ
2288,키길이 56비트 초과,3,2173,1,Y,N,ㅋㅣㄱㅣㄹㅇㅣ 56ㅂㅣㅌㅡ ㅊㅗㄱㅘ
2289,핵폭발 전자기 펄스효과를 견디는 장비,3,2160,1,Y,Y,ㅎㅐㄱㅍㅗㄱㅂㅏㄹ ㅈㅓㄴㅈㅏㄱㅣ ㅍㅓㄹㅅㅡㅎㅛㄱㅘㄹㅡㄹ ㄱㅕㄴㄷㅣㄴㅡㄴ ㅈㅏㅇㅂㅣ
2290,핵폭발 전자효과를 견디는 장비,3,2160,1,Y,Y,ㅎㅐㄱㅍㅗㄱㅂㅏㄹ ㅈㅓㄴㅈㅏㅎㅛㄱㅘㄹㅡㄹ ㄱㅕㄴㄷㅣㄴㅡㄴ ㅈㅏㅇㅂㅣ
2291,"중력측정계 및 관련 부품, 중력경도계",1,,,,Y,"ㅈㅜㅇㄹㅕㄱㅊㅡㄱㅈㅓㅇㄱㅖ ㅁㅣㅊ ㄱㅘㄴㄹㅕㄴ ㅂㅜㅍㅜㅁ, ㅈㅜㅇㄹㅕㄱㄱㅕㅇㄷㅗㄱㅖ"
2292,데이터처리 서브시스템,1,,,,Y,ㄷㅔㅇㅣㅌㅓㅊㅓㄹㅣ ㅅㅓㅂㅡㅅㅣㅅㅡㅌㅔㅁ
2293,영상카메라,1,,,,Y,ㅇㅕㅇㅅㅏㅇㅋㅏㅁㅔㄹㅏ
2294,우주용 반도체 검출기,1,,,,Y,ㅇㅜㅈㅜㅇㅛㅇ ㅂㅏㄴㄷㅗㅊㅔ ㄱㅓㅁㅊㅜㄹㄱㅣ
2295,네오디뮴 도핑 레이저,1,,,,Y,ㄴㅔㅇㅗㄷㅣㅁㅠㅁ ㄷㅗㅍㅣㅇ ㄹㅔㅇㅣㅈㅓ
2296,펄스레이더 단면측정시스템,1,,,,Y,ㅍㅓㄹㅅㅡㄹㅔㅇㅣㄷㅓ ㄷㅏㄴㅁㅕㄴㅊㅡㄱㅈㅓㅇㅅㅣㅅㅡㅌㅔㅁ
2297,단일 스펙트럼 영상센서 및 다중 스펙트럼 영상센서,1,,,,Y,ㄷㅏㄴㅇㅣㄹ ㅅㅡㅍㅔㄱㅌㅡㄹㅓㅁ ㅇㅕㅇㅅㅏㅇㅅㅔㄴㅅㅓ ㅁㅣㅊ ㄷㅏㅈㅜㅇ ㅅㅡㅍㅔㄱㅌㅡㄹㅓㅁ ㅇㅕㅇㅅㅏㅇㅅㅔㄴㅅㅓ
215,벼흰잎마름병균,1,,,,Y,ㅂㅕㅎㅢㄴㅇㅣㅍㅁㅏㄹㅡㅁㅂㅕㅇㄱㅠㄴ
216,터보팽창기,1,,,,Y,ㅌㅓㅂㅗㅍㅐㅇㅊㅏㅇㄱㅣ
217,"N,N-디에틸 포스포라미딕 디할라이드",1,,,,Y,"N,N-ㄷㅣㅇㅔㅌㅣㄹ ㅍㅗㅅㅡㅍㅗㄹㅏㅁㅣㄷㅣㄱ ㄷㅣㅎㅏㄹㄹㅏㅇㅣㄷㅡ"
218,3-퀴뉴클리돈,1,,,,Y,3-ㅋㅟㄴㅠㅋㅡㄹㄹㅣㄷㅗㄴ
219,3-퀴뉴클리디닐 벤질레이트,1,,,,Y,3-ㅋㅟㄴㅠㅋㅡㄹㄹㅣㄷㅣㄴㅣㄹ ㅂㅔㄴㅈㅣㄹㄹㅔㅇㅣㅌㅡ
220,헨드라 바이러스 (에쿠인 모르빌리 바이러스),1,,1,Y,Y,ㅎㅔㄴㄷㅡㄹㅏ ㅂㅏㅇㅣㄹㅓㅅㅡ (ㅇㅔㅋㅜㅇㅣㄴ ㅁㅗㄹㅡㅂㅣㄹㄹㅣ ㅂㅏㅇㅣㄹㅓㅅㅡ)
221,디아세톡시시르페놀,1,,1,Y,Y,ㄷㅣㅇㅏㅅㅔㅌㅗㄱㅅㅣㅅㅣㄹㅡㅍㅔㄴㅗㄹ
222,삭시 독소,1,,1,Y,Y,ㅅㅏㄱㅅㅣ ㄷㅗㄱㅅㅗ
223,구름무늬병균,1,,,,Y,ㄱㅜㄹㅡㅁㅁㅜㄴㅢㅂㅕㅇㄱㅠㄴ
224,재조합된 1918 인플루엔자 바이러스,1,,1,Y,Y,ㅈㅐㅈㅗㅎㅏㅂㄷㅚㄴ 1918 ㅇㅣㄴㅍㅡㄹㄹㅜㅇㅔㄴㅈㅏ ㅂㅏㅇㅣㄹㅓㅅㅡ
225,커피탄저병균,1,,,,Y,ㅋㅓㅍㅣㅌㅏㄴㅈㅓㅂㅕㅇㄱㅠㄴ
226,라사 바이러스 ,1,,1,Y,Y,ㄹㅏㅅㅏ ㅂㅏㅇㅣㄹㅓㅅㅡ 
227,시안화 수소,1,,,,Y,ㅅㅣㅇㅏㄴㅎㅘ ㅅㅜㅅㅗ
228,Thecaphora solani,1,,,,Y,Thecaphora solani
4183,랙,1,,2,Y,Y,ㄹㅐㄱ
4184,monitor,1,,2,Y,Y,monitor
4305,"6A002.b, 6A008, 또는 6B008 설비 관련 소프트웨어",2,4303,,,Y,"6A002.b, 6A008, ㄸㅗㄴㅡㄴ 6B008 ㅅㅓㄹㅂㅣ ㄱㅘㄴㄹㅕㄴ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ"
3899,"암호화 기능 사용 시스템, 장비, 부품",1,0,1,,N,"ㅇㅏㅁㅎㅗㅎㅘ ㄱㅣㄴㅡㅇ ㅅㅏㅇㅛㅇ ㅅㅣㅅㅡㅌㅔㅁ, ㅈㅏㅇㅂㅣ, ㅂㅜㅍㅜㅁ"
3907,대칭 암호알고리즘,1,0,1,,N,ㄷㅐㅊㅣㅇ ㅇㅏㅁㅎㅗㅇㅏㄹㄱㅗㄹㅣㅈㅡㅁ
3975,단말기간 암호가 지원되지 않는 민간 전화기,2,3950,3,Y,Y,ㄷㅏㄴㅁㅏㄹㄱㅣㄱㅏㄴ ㅇㅏㅁㅎㅗㄱㅏ ㅈㅣㅇㅝㄴㄷㅚㅈㅣ ㅇㅏㄴㅎㄴㅡㄴ ㅁㅣㄴㄱㅏㄴ ㅈㅓㄴㅎㅘㄱㅣ
4450,다음과 같은 차단싯,1,0,,,N,ㄷㅏㅇㅡㅁㄱㅘ ㄱㅏㅌㅇㅡㄴ ㅊㅏㄷㅏㄴㅅㅣㅅ
4451,차단시설과 관련 장비,1,4450,,,Y,ㅊㅏㄷㅏㄴㅅㅣㅅㅓㄹㄱㅘ ㄱㅘㄴㄹㅕㄴ ㅈㅏㅇㅂㅣ
4438,베로세포독소,1,0,1,Y,Y,ㅂㅔㄹㅗㅅㅔㅍㅗㄷㅗㄱㅅㅗ
4459,차단시설과 관련 장비,1,0,,,Y,ㅊㅏㄷㅏㄴㅅㅣㅅㅓㄹㄱㅘ ㄱㅘㄴㄹㅕㄴ ㅈㅏㅇㅂㅣ
4454,P4 완전차단시설,3,1725,1,Y,Y,P4 ㅇㅘㄴㅈㅓㄴㅊㅏㄷㅏㄴㅅㅣㅅㅓㄹ
4416,초고온 세라믹,1,0,,,Y,ㅊㅗㄱㅗㅇㅗㄴ ㅅㅔㄹㅏㅁㅣㄱ
4439,P3 완전차단시설,1,0,1,Y,N,P3 ㅇㅘㄴㅈㅓㄴㅊㅏㄷㅏㄴㅅㅣㅅㅓㄹ
4440,P3 완전차단시설,1,4439,1,Y,N,P3 ㅇㅘㄴㅈㅓㄴㅊㅏㄷㅏㄴㅅㅣㅅㅓㄹ
4441,new node1,1,0,,,N,new node1
672,캘리포늄 253 화합물,2,191,,,Y,ㅋㅐㄹㄹㅣㅍㅗㄴㅠㅁ 253 ㅎㅘㅎㅏㅂㅁㅜㄹ
673,수소 또는 헬륨 냉각기,2,100,,,Y,ㅅㅜㅅㅗ ㄸㅗㄴㅡㄴ ㅎㅔㄹㄹㅠㅁ ㄴㅐㅇㄱㅏㄱㄱㅣ
674,우라늄 230 물질 포함하는 제품 또는 장치,2,191,,,Y,ㅇㅜㄹㅏㄴㅠㅁ 230 ㅁㅜㄹㅈㅣㄹ ㅍㅗㅎㅏㅁㅎㅏㄴㅡㄴ ㅈㅔㅍㅜㅁ ㄸㅗㄴㅡㄴ ㅈㅏㅇㅊㅣ
675,뉴캐슬병 바이러스,2,202,1,Y,Y,ㄴㅠㅋㅐㅅㅡㄹㅂㅕㅇ ㅂㅏㅇㅣㄹㅓㅅㅡ
676,함량 10 wt% 이하 화학혼합물,2,143,2,Y,Y,ㅎㅏㅁㄹㅑㅇ 10 wt% ㅇㅣㅎㅏ ㅎㅘㅎㅏㄱㅎㅗㄴㅎㅏㅂㅁㅜㄹ
677,활성물질 미포함,2,42,2,Y,Y,ㅎㅘㄹㅅㅓㅇㅁㅜㄹㅈㅣㄹ ㅁㅣㅍㅗㅎㅏㅁ
678,"N,N-디알킬(메틸, 에틸, 노르말-프로필, 이소-프로필)아미노에탄-2-올에 상응하는 수소화 염",2,209,,,Y,"N,N-ㄷㅣㅇㅏㄹㅋㅣㄹ(ㅁㅔㅌㅣㄹ, ㅇㅔㅌㅣㄹ, ㄴㅗㄹㅡㅁㅏㄹ-ㅍㅡㄹㅗㅍㅣㄹ, ㅇㅣㅅㅗ-ㅍㅡㄹㅗㅍㅣㄹ)ㅇㅏㅁㅣㄴㅗㅇㅔㅌㅏㄴ-2-ㅇㅗㄹㅇㅔ ㅅㅏㅇㅇㅡㅇㅎㅏㄴㅡㄴ ㅅㅜㅅㅗㅎㅘ ㅇㅕㅁ"
679,전구체 재료,2,9,,,Y,ㅈㅓㄴㄱㅜㅊㅔ ㅈㅐㄹㅛ
680,폴로늄 208 물질 포함하는 제품 또는 장치,2,191,,,Y,ㅍㅗㄹㄹㅗㄴㅠㅁ 208 ㅁㅜㄹㅈㅣㄹ ㅍㅗㅎㅏㅁㅎㅏㄴㅡㄴ ㅈㅔㅍㅜㅁ ㄸㅗㄴㅡㄴ ㅈㅏㅇㅊㅣ
681,금속분말 생산 부품,2,105,,,Y,ㄱㅡㅁㅅㅗㄱㅂㅜㄴㅁㅏㄹ ㅅㅐㅇㅅㅏㄴ ㅂㅜㅍㅜㅁ
682,혼합형태 섬유상 또는 필라멘트 소재,2,176,,,N,ㅎㅗㄴㅎㅏㅂㅎㅕㅇㅌㅐ ㅅㅓㅁㅇㅠㅅㅏㅇ ㄸㅗㄴㅡㄴ ㅍㅣㄹㄹㅏㅁㅔㄴㅌㅡ ㅅㅗㅈㅐ
683,악티늄 227 원소,2,191,1,Y,Y,ㅇㅏㄱㅌㅣㄴㅠㅁ 227 ㅇㅝㄴㅅㅗ
684,우라늄 230 원소,2,191,1,Y,Y,ㅇㅜㄹㅏㄴㅠㅁ 230 ㅇㅝㄴㅅㅗ
686,함량 30 wt% 이하 화학혼합물,2,249,2,Y,Y,ㅎㅏㅁㄹㅑㅇ 30 wt% ㅇㅣㅎㅏ ㅎㅘㅎㅏㄱㅎㅗㄴㅎㅏㅂㅁㅜㄹ
687,조정 및 프로그램밍 제어 능력,2,268,,,Y,ㅈㅗㅈㅓㅇ ㅁㅣㅊ ㅍㅡㄹㅗㄱㅡㄹㅐㅁㅁㅣㅇ ㅈㅔㅇㅓ ㄴㅡㅇㄹㅕㄱ
4054,폭발물 탐지기,1,,,,Y,ㅍㅗㄱㅂㅏㄹㅁㅜㄹ ㅌㅏㅁㅈㅣㄱㅣ
4053,탐지기,1,,,,Y,ㅌㅏㅁㅈㅣㄱㅣ
4052,라이브러리,1,,,,Y,ㄹㅏㅇㅣㅂㅡㄹㅓㄹㅣ
4051,적층구조물,1,,,,Y,ㅈㅓㄱㅊㅡㅇㄱㅜㅈㅗㅁㅜㄹ
4050,복합재료,1,,,,Y,ㅂㅗㄱㅎㅏㅂㅈㅐㄹㅛ
4049,폴리피롤,1,,,,Y,ㅍㅗㄹㄹㅣㅍㅣㄹㅗㄹ
4048,폴리페닐렌-비닐렌,1,,,,Y,ㅍㅗㄹㄹㅣㅍㅔㄴㅣㄹㄹㅔㄴ-ㅂㅣㄴㅣㄹㄹㅔㄴ
4047,폴리티오펜,1,,,,Y,ㅍㅗㄹㄹㅣㅌㅣㅇㅗㅍㅔㄴ
4046,폴리티에닐렌-비닐렌,1,,,,Y,ㅍㅗㄹㄹㅣㅌㅣㅇㅔㄴㅣㄹㄹㅔㄴ-ㅂㅣㄴㅣㄹㄹㅔㄴ
4045,폴리아닐린,1,,,,Y,ㅍㅗㄹㄹㅣㅇㅏㄴㅣㄹㄹㅣㄴ
4044,지르코늄 산화물,1,,,,Y,ㅈㅣㄹㅡㅋㅗㄴㅠㅁ ㅅㅏㄴㅎㅘㅁㅜㄹ
4043,알루미늄 산화물,1,,,,Y,ㅇㅏㄹㄹㅜㅁㅣㄴㅠㅁ ㅅㅏㄴㅎㅘㅁㅜㄹ
4042,실리콘 카바이드,1,,,,Y,ㅅㅣㄹㄹㅣㅋㅗㄴ ㅋㅏㅂㅏㅇㅣㄷㅡ
4041,실리콘 질화물,1,,,,Y,ㅅㅣㄹㄹㅣㅋㅗㄴ ㅈㅣㄹㅎㅘㅁㅜㄹ
4040,실리콘 산화물,1,,,,Y,ㅅㅣㄹㄹㅣㅋㅗㄴ ㅅㅏㄴㅎㅘㅁㅜㄹ
4039,붕소 카바이드,1,,,,Y,ㅂㅜㅇㅅㅗ ㅋㅏㅂㅏㅇㅣㄷㅡ
4038,붕소 질화물,1,,,,Y,ㅂㅜㅇㅅㅗ ㅈㅣㄹㅎㅘㅁㅜㄹ
4037,비닐 에테르 모노머(vinylether monomer)를 함유하지 않음,2,4036,2,Y,Y,ㅂㅣㄴㅣㄹ ㅇㅔㅌㅔㄹㅡ ㅁㅗㄴㅗㅁㅓ(vinylether monomer)ㄹㅡㄹ ㅎㅏㅁㅇㅠㅎㅏㅈㅣ ㅇㅏㄴㅎㅇㅡㅁ
4036,불소 탄성체 화합물,1,,,,Y,ㅂㅜㄹㅅㅗ ㅌㅏㄴㅅㅓㅇㅊㅔ ㅎㅘㅎㅏㅂㅁㅜㄹ
4035,폴리벤조티아졸,1,,,,Y,ㅍㅗㄹㄹㅣㅂㅔㄴㅈㅗㅌㅣㅇㅏㅈㅗㄹ
4034,폴리벤조옥사졸,1,,,,Y,ㅍㅗㄹㄹㅣㅂㅔㄴㅈㅗㅇㅗㄱㅅㅏㅈㅗㄹ
4182,날개 접는 시스템,1,,,,Y,ㄴㅏㄹㄱㅐ ㅈㅓㅂㄴㅡㄴ ㅅㅣㅅㅡㅌㅔㅁ
4181,팬,1,,,,Y,ㅍㅐㄴ
4180,파워터빈,1,,,,Y,ㅍㅏㅇㅝㅌㅓㅂㅣㄴ
4179,추진노즐,1,,,,Y,ㅊㅜㅈㅣㄴㄴㅗㅈㅡㄹ
4178,유동통로시스템,1,,,,Y,ㅇㅠㄷㅗㅇㅌㅗㅇㄹㅗㅅㅣㅅㅡㅌㅔㅁ
4177,엔진 안정성,1,,,,Y,ㅇㅔㄴㅈㅣㄴ ㅇㅏㄴㅈㅓㅇㅅㅓㅇ
4176,가스발생기터빈,1,,,,Y,ㄱㅏㅅㅡㅂㅏㄹㅅㅐㅇㄱㅣㅌㅓㅂㅣㄴ
4175,통합 디지털 전자 엔진제어시스템,1,,,,Y,ㅌㅗㅇㅎㅏㅂ ㄷㅣㅈㅣㅌㅓㄹ ㅈㅓㄴㅈㅏ ㅇㅔㄴㅈㅣㄴㅈㅔㅇㅓㅅㅣㅅㅡㅌㅔㅁ
4174,고출력디젤엔진,1,,,,Y,ㄱㅗㅊㅜㄹㄹㅕㄱㄷㅣㅈㅔㄹㅇㅔㄴㅈㅣㄴ
4173,피스톤,1,,,,Y,ㅍㅣㅅㅡㅌㅗㄴ
4172,연료 분사장치,1,,,,Y,ㅇㅕㄴㄹㅛ ㅂㅜㄴㅅㅏㅈㅏㅇㅊㅣ
4171,실린더 헤드,1,,,,Y,ㅅㅣㄹㄹㅣㄴㄷㅓ ㅎㅔㄷㅡ
4170,실린더 라이너,1,,,,Y,ㅅㅣㄹㄹㅣㄴㄷㅓ ㄹㅏㅇㅣㄴㅓ
4169,밸브조립품,1,,,,Y,ㅂㅐㄹㅂㅡㅈㅗㄹㅣㅂㅍㅜㅁ
4168,배기구,1,,,,Y,ㅂㅐㄱㅣㄱㅜ
4167,과급기,1,,,,Y,ㄱㅘㄱㅡㅂㄱㅣ
4166,지상 운반체 추진시스템,1,,,,Y,ㅈㅣㅅㅏㅇ ㅇㅜㄴㅂㅏㄴㅊㅔ ㅊㅜㅈㅣㄴㅅㅣㅅㅡㅌㅔㅁ
4165,왕복디젤엔진,1,,,,Y,ㅇㅘㅇㅂㅗㄱㄷㅣㅈㅔㄹㅇㅔㄴㅈㅣㄴ
4164,틸트 윙,1,,,,Y,ㅌㅣㄹㅌㅡ ㅇㅟㅇ
1488,함량 30 wt% 이하 화학혼합물,3,970,2,Y,Y,ㅎㅏㅁㄹㅑㅇ 30 wt% ㅇㅣㅎㅏ ㅎㅘㅎㅏㄱㅎㅗㄴㅎㅏㅂㅁㅜㄹ
1489,함량 85 % 미만 포함,3,425,2,Y,Y,ㅎㅏㅁㄹㅑㅇ 85 % ㅁㅣㅁㅏㄴ ㅍㅗㅎㅏㅁ
1490,함량 85 % 미만 포함,3,822,2,Y,Y,ㅎㅏㅁㄹㅑㅇ 85 % ㅁㅣㅁㅏㄴ ㅍㅗㅎㅏㅁ
2448,‘직시’ 또는 전자영상 디스플레이를 장착하지 않은 영상 카메라,2,2293,3,Y,Y,‘ㅈㅣㄱㅅㅣ’ ㄸㅗㄴㅡㄴ ㅈㅓㄴㅈㅏㅇㅕㅇㅅㅏㅇ ㄷㅣㅅㅡㅍㅡㄹㄹㅔㅇㅣㄹㅡㄹ ㅈㅏㅇㅊㅏㄱㅎㅏㅈㅣ ㅇㅏㄴㅎㅇㅡㄴ ㅇㅕㅇㅅㅏㅇ ㅋㅏㅁㅔㄹㅏ
2449,영상감지기,2,2340,1,Y,Y,ㅇㅕㅇㅅㅏㅇㄱㅏㅁㅈㅣㄱㅣ
873,열용융방식이 아님,2,179,2,Y,Y,ㅇㅕㄹㅇㅛㅇㅇㅠㅇㅂㅏㅇㅅㅣㄱㅇㅣ ㅇㅏㄴㅣㅁ
3272,테이프 디스펜서,1,,2,Y,Y,ㅌㅔㅇㅣㅍㅡ ㄷㅣㅅㅡㅍㅔㄴㅅㅓ
3273,바이스 프라이어,1,,2,Y,Y,ㅂㅏㅇㅣㅅㅡ ㅍㅡㄹㅏㅇㅣㅇㅓ
3274,철광석 (iron ore),1,,2,Y,Y,ㅊㅓㄹㄱㅘㅇㅅㅓㄱ (iron ore)
3275,보드 마카,1,,2,Y,Y,ㅂㅗㄷㅡ ㅁㅏㅋㅏ
3276,스캐너,1,,2,Y,Y,ㅅㅡㅋㅐㄴㅓ
3277,현미경,1,,2,Y,Y,ㅎㅕㄴㅁㅣㄱㅕㅇ
3278,"트럭 4차종(Tractor 2종, 유류수송차, 압축진개차)",1,,2,Y,Y,"ㅌㅡㄹㅓㄱ 4ㅊㅏㅈㅗㅇ(Tractor 2ㅈㅗㅇ, ㅇㅠㄹㅠㅅㅜㅅㅗㅇㅊㅏ, ㅇㅏㅂㅊㅜㄱㅈㅣㄴㄱㅐㅊㅏ)"
3279,일반 벽부형 전원스위치,1,,2,Y,Y,ㅇㅣㄹㅂㅏㄴ ㅂㅕㄱㅂㅜㅎㅕㅇ ㅈㅓㄴㅇㅝㄴㅅㅡㅇㅟㅊㅣ
3280,문화 투명클립보드A4 F913-7 파랑,1,,2,Y,Y,ㅁㅜㄴㅎㅘ ㅌㅜㅁㅕㅇㅋㅡㄹㄹㅣㅂㅂㅗㄷㅡA4 F913-7 ㅍㅏㄹㅏㅇ
3281,LCD 모니터,1,,2,Y,Y,LCD ㅁㅗㄴㅣㅌㅓ
3282,전원공급장치,1,,2,Y,Y,ㅈㅓㄴㅇㅝㄴㄱㅗㅇㄱㅡㅂㅈㅏㅇㅊㅣ
3283,샴푸캡,1,,2,Y,Y,ㅅㅑㅁㅍㅜㅋㅐㅂ
487,독소 또는 독소의 하위단위를 코드화하는 핵산 서열이 포함된 유전적으로 변형된 미생물 또는 유전적 성분,2,60,1,Y,Y,ㄷㅗㄱㅅㅗ ㄸㅗㄴㅡㄴ ㄷㅗㄱㅅㅗㅇㅢ ㅎㅏㅇㅟㄷㅏㄴㅇㅟㄹㅡㄹ ㅋㅗㄷㅡㅎㅘㅎㅏㄴㅡㄴ ㅎㅐㄱㅅㅏㄴ ㅅㅓㅇㅕㄹㅇㅣ ㅍㅗㅎㅏㅁㄷㅚㄴ ㅇㅠㅈㅓㄴㅈㅓㄱㅇㅡㄹㅗ ㅂㅕㄴㅎㅕㅇㄷㅚㄴ ㅁㅣㅅㅐㅇㅁㅜㄹ ㄸㅗㄴㅡㄴ ㅇㅠㅈㅓㄴㅈㅓㄱ ㅅㅓㅇㅂㅜㄴ
488,퀴륨 242 화합물,2,191,,,Y,ㅋㅟㄹㅠㅁ 242 ㅎㅘㅎㅏㅂㅁㅜㄹ
489,돼지테스코 바이러스,2,202,1,Y,Y,ㄷㅙㅈㅣㅌㅔㅅㅡㅋㅗ ㅂㅏㅇㅣㄹㅓㅅㅡ
490,우라늄-티타늄합금,2,315,,,Y,ㅇㅜㄹㅏㄴㅠㅁ-ㅌㅣㅌㅏㄴㅠㅁㅎㅏㅂㄱㅡㅁ
491,원소 또는 화합물 증착장비,2,185,,,Y,ㅇㅝㄴㅅㅗ ㄸㅗㄴㅡㄴ ㅎㅘㅎㅏㅂㅁㅜㄹ ㅈㅡㅇㅊㅏㄱㅈㅏㅇㅂㅣ
493,특정용도의 완제품,2,129,3,Y,N,ㅌㅡㄱㅈㅓㅇㅇㅛㅇㄷㅗㅇㅢ ㅇㅘㄴㅈㅔㅍㅜㅁ
494,퀴륨 241 화합물,2,191,,,Y,ㅋㅟㄹㅠㅁ 241 ㅎㅘㅎㅏㅂㅁㅜㄹ
495,폴로늄 209 화합물,2,191,,,Y,ㅍㅗㄹㄹㅗㄴㅠㅁ 209 ㅎㅘㅎㅏㅂㅁㅜㄹ
