키워드순번,품목키워드,키워드레벨,상위키워드순번,판정결과코드,종결여부,사용여부,자동완성용키워드
1984,300 km미만 사거리 무인항공기용,2,1832,3,Y,Y,300 kmㅁㅣㅁㅏㄴ ㅅㅏㄱㅓㄹㅣ ㅁㅜㅇㅣㄴㅎㅏㅇㄱㅗㅇㄱㅣㅇㅛㅇ
1985,신호분석기의 주파수 범위 확장,2,1865,,,Y,ㅅㅣㄴㅎㅗㅂㅜㄴㅅㅓㄱㄱㅣㅇㅢ ㅈㅜㅍㅏㅅㅜ ㅂㅓㅁㅇㅟ ㅎㅘㄱㅈㅏㅇ
1986,최대 동작 주파수 110GHz이하,2,1800,2,Y,Y,ㅊㅚㄷㅐ ㄷㅗㅇㅈㅏㄱ ㅈㅜㅍㅏㅅㅜ 110GHzㅇㅣㅎㅏ
1987,진행파(펄스 또는 지속파)관,2,1813,,,Y,ㅈㅣㄴㅎㅐㅇㅍㅏ(ㅍㅓㄹㅅㅡ ㄸㅗㄴㅡㄴ ㅈㅣㅅㅗㄱㅍㅏ)ㄱㅘㄴ
1988,동작주파수 90GHz(초과),2,1837,,,Y,ㄷㅗㅇㅈㅏㄱㅈㅜㅍㅏㅅㅜ 90GHz(ㅊㅗㄱㅘ)
1989,0.01μC/㎟이거나 이보다 우수한 감도,3,1957,1,Y,Y,0.01μC/㎟ㅇㅣㄱㅓㄴㅏ ㅇㅣㅂㅗㄷㅏ ㅇㅜㅅㅜㅎㅏㄴ ㄱㅏㅁㄷㅗ
1990,1.6GHz초과 주파수 변화의 주파수 전환시간 100μs미만,3,1964,1,Y,Y,1.6GHzㅊㅗㄱㅘ ㅈㅜㅍㅏㅅㅜ ㅂㅕㄴㅎㅘㅇㅢ ㅈㅜㅍㅏㅅㅜ ㅈㅓㄴㅎㅘㄴㅅㅣㄱㅏㄴ 100μsㅁㅣㅁㅏㄴ
1991,110GHz이상,3,1871,1,Y,Y,110GHzㅇㅣㅅㅏㅇ
1992,110GHz이상,3,1896,1,Y,Y,110GHzㅇㅣㅅㅏㅇ
1993,15nm(이상)~245nm(미만) 양성레지스트,3,1935,1,Y,Y,15nm(ㅇㅣㅅㅏㅇ)~245nm(ㅁㅣㅁㅏㄴ) ㅇㅑㅇㅅㅓㅇㄹㅔㅈㅣㅅㅡㅌㅡ
1994,1nm(초과)~15nm(미만) 레지스트,3,1935,1,Y,Y,1nm(ㅊㅗㄱㅘ)~15nm(ㅁㅣㅁㅏㄴ) ㄹㅔㅈㅣㅅㅡㅌㅡ
2723,입력 광섬유 개수가 3 미만인 융착형 테이퍼 광섬유 결합기,3,2547,2,Y,Y,ㅇㅣㅂㄹㅕㄱ ㄱㅘㅇㅅㅓㅁㅇㅠ ㄱㅐㅅㅜㄱㅏ 3 ㅁㅣㅁㅏㄴㅇㅣㄴ ㅇㅠㅇㅊㅏㄱㅎㅕㅇ ㅌㅔㅇㅣㅍㅓ ㄱㅘㅇㅅㅓㅁㅇㅠ ㄱㅕㄹㅎㅏㅂㄱㅣ
2724,중첩펄스 연속파(continuous wave (CW))방식,3,2587,,,Y,ㅈㅜㅇㅊㅓㅂㅍㅓㄹㅅㅡ ㅇㅕㄴㅅㅗㄱㅍㅏ(continuous wave (CW))ㅂㅏㅇㅅㅣㄱ
2725,"촬영속도가 1,000,000 frame/sec 이하",3,2427,2,Y,Y,"ㅊㅘㄹㅇㅕㅇㅅㅗㄱㄷㅗㄱㅏ 1,000,000 frame/sec ㅇㅣㅎㅏ"
2726,"촬영속도가 초당 1,000,000컷(frame/sec) 이하",3,2650,2,Y,Y,"ㅊㅘㄹㅇㅕㅇㅅㅗㄱㄷㅗㄱㅏ ㅊㅗㄷㅏㅇ 1,000,000ㅋㅓㅅ(frame/sec) ㅇㅣㅎㅏ"
2727,"촬영속도가 초당 13,150컷(frame/sec)이하",3,2517,2,Y,Y,"ㅊㅘㄹㅇㅕㅇㅅㅗㄱㄷㅗㄱㅏ ㅊㅗㄷㅏㅇ 13,150ㅋㅓㅅ(frame/sec)ㅇㅣㅎㅏ"
2728,코팅 처리 불포함,3,2428,2,Y,Y,ㅋㅗㅌㅣㅇ ㅊㅓㄹㅣ ㅂㅜㄹㅍㅗㅎㅏㅁ
2729,생산 설비 및 생산 장비,1,,,,Y,ㅅㅐㅇㅅㅏㄴ ㅅㅓㄹㅂㅣ ㅁㅣㅊ ㅅㅐㅇㅅㅏㄴ ㅈㅏㅇㅂㅣ
2730,항공용 탑재고도계,1,,,,Y,ㅎㅏㅇㄱㅗㅇㅇㅛㅇ ㅌㅏㅂㅈㅐㄱㅗㄷㅗㄱㅖ
2731,자이로스코프,1,,,,Y,ㅈㅏㅇㅣㄹㅗㅅㅡㅋㅗㅍㅡ
2734,수중음파탐지 항법시스템,1,,,,Y,ㅅㅜㅈㅜㅇㅇㅡㅁㅍㅏㅌㅏㅁㅈㅣ ㅎㅏㅇㅂㅓㅂㅅㅣㅅㅡㅌㅔㅁ
2737,"시험, 교정 또는 정렬장비",1,,,,Y,"ㅅㅣㅎㅓㅁ, ㄱㅛㅈㅓㅇ ㄸㅗㄴㅡㄴ ㅈㅓㅇㄹㅕㄹㅈㅏㅇㅂㅣ"
2738,비행제어시스템과 서보밸브,1,,,,Y,ㅂㅣㅎㅐㅇㅈㅔㅇㅓㅅㅣㅅㅡㅌㅔㅁㄱㅘ ㅅㅓㅂㅗㅂㅐㄹㅂㅡ
2739,Umbilical과 단간 전기 연결단자,1,,,,Y,Umbilicalㄱㅘ ㄷㅏㄴㄱㅏㄴ ㅈㅓㄴㄱㅣ ㅇㅕㄴㄱㅕㄹㄷㅏㄴㅈㅏ
2740,위성항법시스템,1,,,,Y,ㅇㅟㅅㅓㅇㅎㅏㅇㅂㅓㅂㅅㅣㅅㅡㅌㅔㅁ
